iter	Passed	Remaining
0	27	16640
1	30	9054
2	46	9252
3	78	11703
4	98	11667
5	104	10344
6	132	11254
7	146	10812
8	174	11460
9	200	11806
10	215	11557
11	241	11850
12	264	11933
13	276	11558
14	304	11872
15	329	12042
16	358	12296
17	397	12852
18	430	13174
19	458	13285
20	488	13460
21	513	13483
22	523	13130
23	531	12757
24	553	12735
25	585	12927
26	613	13015
27	616	12602
28	643	12671
29	654	12437
30	659	12105
31	667	11844
32	681	11706
33	709	11813
34	741	11976
35	770	12072
36	810	12336
37	843	12472
38	872	12550
39	904	12662
40	935	12749
41	963	12800
42	982	12731
43	1014	12820
44	1027	12673
45	1058	12751
46	1079	12697
47	1117	12852
48	1165	13109
49	1229	13521
50	1232	13272
51	1302	13727
52	1351	13952
53	1396	14118
54	1430	14171
55	1434	13931
56	1472	14025
57	1478	13814
58	1505	13802
59	1538	13850
60	1553	13725
61	1585	13758
62	1617	13783
63	1642	13756
64	1653	13605
65	1662	13452
66	1689	13442
67	1695	13261
68	1720	13240
69	1722	13044
70	1756	13088
71	1776	13030
72	1799	12988
73	1824	12966
74	1844	12914
75	1876	12939
76	1907	12954
77	1926	12894
78	1932	12742
79	1962	12755
80	1983	12706
81	2018	12750
82	2053	12788
83	2086	12820
84	2115	12815
85	2125	12701
86	2142	12634
87	2153	12531
88	2177	12504
89	2211	12531
90	2226	12455
91	2277	12573
92	2323	12664
93	2359	12700
94	2376	12631
95	2394	12569
96	2423	12568
97	2452	12563
98	2485	12577
99	2489	12447
100	2518	12445
101	2552	12462
102	2597	12534
103	2706	12906
104	2723	12839
105	2738	12761
106	2747	12658
107	2780	12667
108	2821	12709
109	2860	12741
110	2889	12729
111	2919	12719
112	2948	12708
113	2987	12734
114	3017	12726
115	3058	12759
116	3074	12690
117	3103	12678
118	3132	12663
119	3166	12664
120	3208	12700
121	3240	12696
122	3268	12674
123	3292	12640
124	3324	12634
125	3353	12616
126	3398	12658
127	3429	12647
128	3463	12647
129	3495	12636
130	3507	12556
131	3543	12562
132	3570	12538
133	3602	12526
134	3622	12476
135	3648	12446
136	3673	12416
137	3705	12406
138	3744	12418
139	3774	12400
140	3801	12375
141	3833	12365
142	3862	12342
143	3890	12319
144	3901	12241
145	3928	12216
146	3954	12184
147	3982	12162
148	4008	12132
149	4035	12105
150	4070	12104
151	4112	12121
152	4151	12129
153	4184	12117
154	4218	12112
155	4248	12092
156	4270	12049
157	4284	11985
158	4306	11945
159	4327	11900
160	4352	11866
161	4368	11811
162	4393	11777
163	4416	11741
164	4441	11709
165	4457	11654
166	4472	11597
167	4493	11553
168	4512	11508
169	4529	11455
170	4546	11406
171	4565	11361
172	4587	11323
173	4608	11283
174	4623	11227
175	4641	11181
176	4655	11126
177	4673	11079
178	4684	11017
179	4704	10977
180	4712	10909
181	4724	10849
182	4733	10786

182	5195	11838
183	5220	11801
184	5255	11788
185	5284	11761
186	5315	11738
187	5340	11704
188	5379	11698
189	5409	11673
190	5442	11653
191	5474	11632
192	5510	11619
193	5548	11610
194	5579	11588
195	5607	11557
196	5642	11542
197	5672	11517
198	5712	11510
199	5741	11483
200	5773	11461
201	5804	11436
202	5832	11406
203	5857	11369
204	5881	11333
205	5906	11297
206	5929	11256
207	5951	11215
208	5969	11166
209	5990	11125
210	6013	11085
211	6037	11049
212	6062	11014
213	6081	10968
214	6096	10917
215	6120	10881
216	6137	10832
217	6157	10788
218	6181	10754
219	6198	10707
220	6216	10661
221	6234	10614
222	6252	10570
223	6259	10506
224	6271	10452
225	6284	10399
226	6294	10342
227	6311	10298
228	6327	10251
229	6337	10195
230	6348	10141
231	6361	10090
232	6376	10044
233	6388	9991
234	6402	9944
235	6412	9890
236	6420	9834
237	6429	9778
238	6436	9722
239	6448	9672
240	6454	9614
241	6467	9567
242	6479	9519

243	7565	11038
244	7597	11007
245	7621	10967
246	7646	10927
247	7699	10928
248	7742	10914
249	7770	10878
250	7809	10859
251	7848	10837
252	7877	10804
253	7912	10778
043
254	8140	11013
255	8187	11002
256	8217	10967
257	8241	10924
258	8271	10890
259	8292	10843
260	8317	10803
261	8345	10766
262	8362	10715
263	8388	10675
264	8409	10631
265	8429	10584
266	8454	10544
267	8467	10489
268	8484	10439
269	8503	10393
270	8524	10348
271	8543	10302
272	8558	10251
273	8581	10210
274	8601	10165
275	8613	10111
276	8631	10064
277	8651	10020
278	8663	9967
279	8680	9920
280	8696	9872
281	8712	9825
282	8725	9774
283	8744	9730
284	8762	9685
285	8777	9637
286	8786	9582
287	8798	9531
288	8805	9475
289	8819	9427
290	8832	9378
291	8845	9330
292	8856	9279
	82298	8378297	82299	8414298	8280	8336
299	8312	8312
300	8339	8283
301	8377	8266
302	8404	8237
303	8444	8221
304	8477	8199
305	8502	8168
306	85308	8708307	85309	8734308	8596	8095
309	8627	8070
310	8661	8048
311	8697	8028
312	8731	8006
313	8773	7991
314	8811	7971
315	8851	7955
316	8884	7931
317	8915	7906
318	8961	7894
319	9004	7879
320	9033	7851
321	9070	7831
322	9096	7800
323	9126	7774
324	9146	7739
325	9170	7707
326	9196	7678
327	9215	7642
328	9237	7609
329	9253	7571
330	9273	7536
331	9295	7503
332	9312	7467
333	9336	7435
334	9356	7401
335	9377	7368
336	9389	7327
337	9407	7291
338	9428	7258
339	9444	7222
340	9467	7191
341	9484	7154
342	9501	7119
343	9518	7083
344	9531	7044
345	9549	7010
346	9566	6974
347	9579	6936
348	9590	6897
349	9601	6858
350	9612	6818
351	9627	6783
352	9640	6745
353	9653	6708
354	9665	6670
355	9675	6631
356	9685	6592
357	9695	6553
358	9707	6516
359	9717	6478
360	9729	6441
361	9739	6403
362	9748	6364
363	9759	6327
364	9768	6289
365	9778	6251
366	9790	6215
367	9799	6177
368	9807	6139
