iter	Passed	Remaining
0	160	47978
1	183	27372
2	207	20504
3	214	15897
4	225	13300
5	245	12027
6	261	10963
7	282	10299
8	298	9642
9	304	8830
10	315	8295
11	336	8073
12	360	7955
13	375	7665
14	391	7441
15	401	7119
16	405	6754
17	412	6455
18	432	6401
19	460	6440
20	485	6446
21	510	6447
22	533	6425
23	538	6192
24	547	6023
25	552	5818
26	562	5683
27	582	5654
28	593	5546
29	602	5421
30	624	5415
31	647	5424
32	671	5431
33	693	5429
34	708	5363
35	731	5362
36	747	5315
37	764	5269
38	788	5274
39	812	5280
40	836	5286
41	846	5197
42	867	5181
43	876	5098
44	881	4994
45	901	4980
46	927	4990
47	955	5016
48	972	4980
49	994	4974
50	1020	4983
51	1044	4982
52	1056	4924
53	1098	5005
54	1113	4962
55	1127	4913
56	1149	4902
57	1173	4895
58	1180	4820
59	1202	4808
60	1224	4799
61	1248	4791
62	1256	4725
63	1276	4707
64	1283	4640
65	1303	4622
66	1326	4614
67	1349	4605
68	1372	4593
69	1393	4579
70	1414	4563
71	1436	4548
72	1458	4536
73	1480	4521
74	1495	4486
75	1515	4466
76	1537	4453
77	1560	4440
78	1582	4428
79	1591	4376
80	1611	4355
81	1633	4341
82	1654	4324
83	1677	4313
84	1699	4299
85	1723	4288
86	1745	4273
87	1766	4256
88	1788	4239
89	1810	4223
90	1831	4206
91	1852	4187
92	1874	4172
93	1896	4156
94	1918	4138
95	1940	4123
96	1962	4106
97	1984	4090
98	2005	4072
99	2035	4070
100	2061	4061
101	2084	4046
102	2107	4031
103	2130	4015
104	2153	4000
105	2175	3981
106	2196	3962
107	2218	3944
108	2243	3931
109	2272	3925
110	2297	3912
111	2321	3897
112	2346	3882
113	2371	3868
114	2393	3850
115	2416	3832
116	2442	3820
117	2469	3809
118	2493	3792
119	2515	3773
120	2538	3755
121	2561	3737
122	2586	3721
123	2609	3703
124	2633	3687
125	2657	3669
126	2680	3652
127	2717	3651
128	2750	3646
129	2775	3629
130	2799	3612
131	2822	3592
132	2845	3572
133	2869	3554
134	2890	3533
135	2912	3512
136	2934	3491
137	2956	3470
138	2979	3451
139	3004	3433
140	3029	3415
141	3051	3395
142	3076	3377
143	3099	3357
144	3122	3337
145	3145	3317
146	3167	3296
147	3190	3276
148	3211	3254
149	3232	3232
150	3253	3210
151	3275	3189
152	3297	3167
153	3319	3147
154	3343	3127
155	3364	3105
156	3384	3082
157	3405	3060
158	3426	3038
159	3449	3018
160	3470	2996
161	3492	2974
162	3514	2953
163	3537	2933
164	3557	2910
165	3577	2888
166	3599	2867
167	3620	2844
168	3643	2823
169	3664	2802
170	3686	2780
171	3708	2759
172	3729	2737
173	3749	2715
174	3771	2693
175	3793	2672
176	3816	2651
177	3837	2629
178	3858	2608
179	3880	2586
180	3900	2564
181	3921	2542
182	3943	2521
183	3963	2498
184	3985	2477
185	4008	2456
186	4030	2435
187	4052	2414
188	4073	2392
189	4095	2371
190	4117	2349
191	4140	2329
192	4163	2308
193	4185	2286
194	4207	2265
195	4230	2245
196	4254	2224
197	4275	2202
198	4297	2181
199	4319	2159
200	4341	2138
201	4361	2115
202	4382	2093
203	4404	2072
204	4427	2051
205	4449	2030
206	4471	2008
207	4492	1987
208	4516	1966
209	4538	1945
210	4558	1922
211	4580	1901
212	4602	1879
213	4624	1858
214	4645	1836
215	4667	1815
216	4688	1793
217	4709	1771
218	4731	1750
219	4753	1728
220	4774	1706
221	4795	1684
222	4816	1663
223	4838	1641
224	4860	1620
225	4882	1598
226	4903	1577
227	4925	1555
228	4948	1534
229	4968	1512
230	4990	1490
231	5012	1469
232	5033	1447
233	5055	1425
234	5079	1404
235	5116	1387
236	5138	1365
237	5160	1344
238	5182	1322
239	5203	1300
240	5225	1279
241	5247	1257
242	5267	1235
243	5288	1213
244	5309	1191
245	5331	1170
246	5353	1148
247	5374	1126
248	5395	1105
249	5416	1083
250	5438	1061
251	5459	1039
252	5482	1018
253	5505	997
254	5528	975
255	5550	953
256	5572	932
257	5595	910
258	5617	889
259	5639	867
260	5660	845
261	5682	824
262	5703	802
263	5725	780
264	5746	759
265	5769	737
266	5790	715
267	5812	694
268	5833	672
269	5855	650
270	5877	628
271	5899	607
272	5921	585
273	5943	564
274	5966	542
275	5988	520
276	6011	499
277	6034	477
278	6056	455
279	6078	434
280	6100	412
281	6121	390
282	6142	369
283	6164	347
284	6185	325
285	6206	303
286	6227	282
287	6248	260
288	6270	238
289	6291	216
290	6312	195
291	6334	173
292	6357	151
293	6378	130
294	6400	108
295	6422	86
296	6443	65
297	6465	43
298	6486	21
299	6506	0
